ax,ay,az,gx,gy,gz,mx,my,mz
1001,-15,16867,-0.001067,0.015473,-0.005869,36,16,-149
1002,-22,16864,-0.001067,0.015473,-0.005869,36,16,-149
1001,-36,16871,-0.001067,0.015473,-0.005869,36,16,-148
1002,-33,16853,-0.001067,0.015473,-0.005869,36,16,-148
997,-38,16846,-0.001067,0.015473,-0.005869,36,15,-148
997,-32,16861,-0.001067,0.015473,-0.005869,36,15,-148
999,-41,16849,-0.001067,0.015473,-0.005869,36,15,-148
1004,-38,16865,-0.001067,0.015473,-0.005869,37,15,-148
1010,-15,16870,-0.001067,0.014939,-0.005869,37,15,-148
1003,-20,16872,-0.001067,0.014939,-0.005869,37,15,-148
1010,-17,16862,-0.001067,0.014939,-0.005869,37,16,-148
1009,-24,16868,-0.001067,0.014939,-0.005869,37,15,-148
1016,-13,16881,-0.001067,0.014939,-0.005869,37,15,-148
1024,-18,16875,-0.001067,0.014939,-0.005869,37,16,-148
1033,-16,16879,-0.001067,0.014939,-0.005869,37,16,-148
1032,-48,16858,-0.001067,0.014939,-0.005869,36,16,-148
1034,-54,16857,-0.000534,0.014939,-0.005869,36,16,-148
1045,-52,16851,-0.000534,0.014939,-0.006402,37,16,-148
1030,-45,16869,-0.000534,0.015473,-0.006402,37,16,-148
1036,-40,16872,-0.000534,0.015473,-0.006402,36,16,-147
1028,-45,16862,-0.000534,0.015473,-0.006402,36,16,-147
1031,-47,16875,-0.000534,0.015473,-0.006402,36,16,-148
1034,-32,16887,-0.000534,0.015473,-0.006402,36,16,-148
1038,-9,16879,-0.000534,0.015473,-0.006402,36,16,-148
1029,-7,16870,-0.001067,0.015473,-0.006402,36,16,-147
1026,4,16882,-0.001067,0.015473,-0.005869,36,16,-147
1037,7,16882,-0.001067,0.014939,-0.005869,36,15,-147
1035,16,16901,-0.000534,0.015473,-0.005869,37,15,-147
1037,18,16916,-0.000534,0.015473,-0.005869,37,15,-147
1030,21,16906,-0.000534,0.015473,-0.005869,37,15,-147
1015,10,16901,-0.000534,0.015473,-0.005869,37,15,-147
1014,10,16916,-0.000534,0.015473,-0.005869,38,15,-147
1022,9,16915,-0.001067,0.015473,-0.005869,38,16,-147
1011,4,16926,-0.000534,0.015473,-0.005869,38,16,-147
1014,-5,16912,-0.000534,0.015473,-0.005869,38,16,-148
1009,-19,16888,-0.000534,0.015473,-0.005869,37,16,-147
1013,-47,16871,-0.000534,0.014939,-0.005869,37,16,-147
1008,-56,16866,-0.001067,0.014939,-0.005869,37,16,-148
1012,-59,16868,-0.001067,0.014939,-0.005869,37,16,-148
1006,-54,16871,-0.001067,0.015473,-0.005869,37,16,-148
1032,-59,16870,-0.000534,0.015473,-0.005869,36,16,-147
1039,-64,16851,-0.000534,0.015473,-0.006402,37,16,-147
1033,-62,16855,-0.001067,0.015473,-0.006402,37,16,-148
1033,-56,16867,-0.001067,0.015473,-0.006402,37,16,-148
1024,-31,16872,-0.001067,0.015473,-0.006402,37,16,-148
1027,-50,16873,-0.000534,0.015473,-0.006402,37,16,-147
1027,-56,16879,-0.000534,0.015473,-0.006402,37,16,-147
1034,-57,16871,-0.000534,0.015473,-0.006402,36,16,-148
1006,-53,16881,-0.000534,0.015473,-0.006402,37,16,-148
1000,-50,16891,-0.000534,0.015473,-0.006402,36,16,-148
1007,-42,16883,-0.000534,0.015473,-0.006402,36,16,-148
1017,-42,16881,-0.000534,0.015473,-0.006402,36,16,-148
1023,-30,16886,-0.000534,0.015473,-0.006402,37,16,-148
1036,-5,16875,-0.001067,0.015473,-0.006402,37,15,-149
1032,13,16873,-0.001067,0.015473,-0.006402,36,15,-149
1032,8,16886,-0.001067,0.015473,-0.006402,37,15,-149
1027,2,16882,-0.001067,0.015473,-0.006402,37,15,-148
1035,-2,16870,-0.001067,0.015473,-0.006402,37,16,-148
1039,-2,16889,-0.001067,0.015473,-0.006402,37,16,-148
1035,-1,16887,-0.001067,0.015473,-0.006402,37,16,-148
1039,-15,16876,-0.001067,0.015473,-0.006402,36,16,-148
1028,-19,16889,-0.001067,0.015473,-0.006402,36,16,-147
1032,-17,16885,-0.001067,0.014939,-0.006402,37,16,-147
1033,-11,16886,-0.001067,0.014939,-0.006402,37,16,-147
1034,1,16892,-0.001067,0.014939,-0.006402,37,16,-147
1034,4,16902,-0.001067,0.015473,-0.006402,37,16,-147
1026,2,16896,-0.001067,0.015473,-0.006402,37,16,-148
1024,4,16894,-0.001067,0.015473,-0.006402,37,16,-148
1028,10,16886,-0.001067,0.015473,-0.006402,37,16,-148
1025,16,16884,-0.001067,0.015473,-0.006402,36,16,-148
1022,11,16883,-0.000534,0.015473,-0.006402,37,16,-148
1022,10,16868,-0.000534,0.015473,-0.005869,37,16,-148
1034,12,16848,-0.000534,0.015473,-0.005869,37,16,-148
1040,16,16850,-0.000534,0.015473,-0.005869,37,16,-148
1045,23,16859,-0.000534,0.015473,-0.005869,37,16,-148
1045,22,16836,-0.001067,0.015473,-0.005869,37,16,-148
1019,7,16852,-0.001067,0.015473,-0.006402,37,16,-148
1026,9,16844,-0.000534,0.015473,-0.006402,37,16,-148
1063,2,16854,-0.000534,0.015473,-0.006402,37,15,-148
1060,5,16859,-0.000534,0.015473,-0.006402,37,16,-148
1049,-10,16855,-0.000534,0.015473,-0.006402,37,16,-148
1047,-19,16851,-0.000534,0.015473,-0.006402,37,16,-148
1046,-26,16846,-0.000534,0.015473,-0.006402,37,16,-148
1048,-26,16866,-0.000534,0.015473,-0.006402,37,15,-148
1059,-12,16863,-0.000534,0.015473,-0.006402,37,15,-148
1058,-20,16878,-0.001067,0.015473,-0.006402,37,16,-148
1022,-15,16873,-0.001067,0.015473,-0.006402,37,16,-148
1023,13,16862,-0.001067,0.014939,-0.006402,37,15,-148
1035,25,16889,-0.001067,0.014939,-0.006402,37,16,-148
1020,30,16879,-0.001067,0.014939,-0.006402,37,16,-148
1017,37,16880,-0.001067,0.014939,-0.006402,37,16,-148
1008,34,16888,-0.001067,0.014939,-0.006402,37,16,-148
1012,31,16891,-0.001067,0.014939,-0.006402,37,16,-148
1010,35,16889,-0.001067,0.014939,-0.006402,36,16,-148
1015,35,16880,-0.000534,0.015473,-0.006402,36,16,-148
985,5,16873,-0.000534,0.015473,-0.006402,36,16,-147
964,-8,16865,-0.000534,0.015473,-0.006402,36,16,-147
1143,-4,16873,-0.000534,0.015473,0.001067,36,16,-147
1099,-19,16895,0.002134,0.014939,0.060823,36,16,-147
1115,-13,16885,0.004268,0.014939,0.10511,36,16,-147
1173,-10,16873,0.005335,0.015473,0.13232,35,16,-147
1210,-58,16850,0.006936,0.016006,0.16166,34,16,-147
1281,-41,16868,0.006402,0.017073,0.15793,33,16,-147
1350,-79,16866,0.005335,0.017607,0.12805,31,16,-147
1422,-88,16886,0.004268,0.01814,0.10884,27,16,-147
1454,-152,16847,0.003201,0.018674,0.088034,24,17,-145
1729,-156,16858,0,0.019741,0.012805,19,18,-142
2000,-223,16825,-0.003735,0.020274,-0.073095,14,18,-138
2264,-225,16847,-0.00747,0.019741,-0.15686,9,19,-132
2278,-210,16851,-0.013338,0.020274,-0.27904,4,19,-125
2250,-306,16836,-0.017607,0.020274,-0.37027,1,19,-117
2023,-289,16887,-0.019741,0.019741,-0.41456,-1,19,-108
1722,-281,16908,-0.021875,0.019741,-0.45297,-1,20,-100
1411,-215,16966,-0.022409,0.01814,-0.46951,0,20,-92
1154,-180,16910,-0.022942,0.017607,-0.45564,3,21,-86
748,-171,16929,-0.020808,0.017607,-0.41136,7,21,-83
447,-177,16896,-0.019207,0.017073,-0.36547,13,21,-83
299,-168,16907,-0.01654,0.01654,-0.29931,20,22,-86
178,-113,16922,-0.013872,0.015473,-0.22835,29,22,-92
309,-101,16838,-0.013872,0.040549,-0.1894,38,22,-98
550,-90,16811,-0.010671,0.022942,-0.14352,46,22,-105
662,-104,16795,-0.00907,0.017607,-0.11685,53,21,-112
674,-118,16784,-0.00747,0.01654,-0.11364,59,21,-118
798,-69,16796,-0.00747,0.015473,-0.11631,65,20,-123
767,-67,16811,-0.006936,0.014939,-0.10564,69,19,-126
734,-140,16823,-0.005335,0.013872,-0.081631,71,19,-128
715,-202,16827,-0.003735,0.013338,-0.054954,70,19,-128
555,-182,16879,-0.000534,-0.012271,-0.03468,68,20,-126
167,-248,16866,-0.001067,0.004802,-0.037348,65,21,-123
-200,-219,16876,-0.001067,0.011204,-0.023476,59,22,-119
-474,-325,16905,0.001067,0.012271,0.023476,53,22,-113
-701,-334,16939,0.004268,0.012805,0.083232,45,22,-106
-798,-281,16930,0.00747,0.012805,0.15686,36,22,-100
-629,-248,16923,0.010671,0.012805,0.22782,27,22,-95
-295,-44,16885,0.011738,0.013872,0.2545,18,22,-90
114,-149,16892,0.012271,0.013872,0.26197,9,21,-88
810,55,16860,0.012805,0.012805,0.27424,2,20,-90
1219,10,16846,0.011738,0.012271,0.25236,-3,20,-94
1644,141,16826,0.00907,0.013338,0.18727,-5,20,-102
1913,120,16759,0.00747,0.012805,0.16326,-4,20,-111
2216,-1,16743,0.005869,0.012805,0.12645,0,21,-120
2315,138,16730,0.004268,0.013338,0.090168,6,21,-128
2372,-5,16723,0.004268,0.011204,0.086433,15,22,-136
2457,146,16718,0.003735,0.010671,0.089101,24,23,-142
2152,0,16749,0.003735,0.010137,0.085366,32,24,-146
2106,28,16749,0.003735,0.010137,0.093902,41,25,-148
1969,-8,16768,0.004268,0.010671,0.11098,48,26,-149
1921,35,16809,0.002668,0.012805,0.075229,53,27,-149
1724,106,16848,0.000534,0.012805,0.037881,56,27,-149
1581,32,16877,-0.001067,0.012805,0.005869,58,27,-149
1278,55,16897,-0.002134,0.014405,-0.019741,58,27,-148
1004,-8,16890,-0.001601,0.014939,-0.014405,58,28,-148
995,-18,16897,-0.001601,0.015473,-0.008537,58,28,-148
995,-16,16898,-0.001601,0.016006,-0.006402,58,28,-148
987,-11,16907,-0.001601,0.015473,-0.005869,58,28,-148
1000,-18,16881,-0.001067,0.013872,-0.005869,57,27,-148
988,-15,16858,-0.001067,0.014405,-0.005869,57,28,-148
996,-13,16845,-0.001067,0.014405,-0.005869,57,28,-148
1006,-18,16859,-0.001067,0.014405,-0.005869,57,28,-149
1003,-18,16865,-0.001067,0.014405,-0.005869,57,28,-149
1012,-24,16855,-0.001067,0.014405,-0.005869,57,28,-149
1016,-33,16858,-0.001067,0.014405,-0.005869,58,28,-149
1026,-32,16839,-0.001067,0.014405,-0.005869,58,28,-149
1017,-41,16881,-0.001067,0.014405,-0.005869,58,29,-149
1022,-50,16893,-0.001067,0.014405,-0.005869,58,28,-149
1022,-49,16904,-0.001067,0.014405,-0.005869,58,28,-149
1015,-43,16898,-0.001067,0.014405,-0.005869,58,28,-148
1021,-40,16902,-0.001067,0.014405,-0.006402,58,28,-148
1013,-38,16897,-0.001067,0.014405,-0.006402,58,28,-148
1009,-30,16885,-0.001067,0.014405,-0.006402,58,28,-148
1007,-37,16898,-0.001067,0.014405,-0.006402,58,28,-148
1015,-41,16892,-0.001067,0.014405,-0.006402,58,28,-148
1022,-41,16892,-0.001067,0.014405,-0.006402,58,28,-148
1021,-52,16876,-0.001067,0.014405,-0.006936,57,28,-148
1031,-56,16884,-0.001067,0.014405,-0.006402,58,28,-148
1020,-51,16884,-0.001067,0.014405,-0.006402,58,28,-148
1029,-40,16888,-0.001067,0.014405,-0.006402,58,27,-148
1033,-43,16889,-0.001067,0.014405,-0.006402,58,27,-148
1036,-41,16878,-0.001067,0.014405,-0.005869,58,27,-148
1028,-28,16871,-0.001067,0.014405,-0.005869,57,27,-148
1030,-26,16874,-0.001067,0.014405,-0.005869,58,27,-148
1027,-15,16879,-0.001067,0.014405,-0.005869,58,27,-148
1023,-15,16871,-0.001067,0.014939,-0.005869,58,27,-148
1024,-19,16859,-0.001067,0.014939,-0.005869,58,27,-148
1010,-16,16867,-0.001067,0.014405,-0.005869,57,27,-148
1011,-19,16881,-0.001067,0.014405,-0.005869,58,27,-148
1003,-16,16877,-0.001067,0.014405,-0.005869,58,28,-148
1008,-9,16881,-0.001067,0.014405,-0.005869,58,28,-148
1004,-6,16878,-0.001067,0.014405,-0.005869,58,28,-149
1000,-11,16884,-0.001067,0.014405,-0.005869,57,28,-149
1002,-9,16888,-0.000534,0.014405,-0.006402,57,28,-148
1002,-1,16892,-0.000534,0.014405,-0.006402,57,28,-148
1013,2,16875,-0.001067,0.014405,-0.006402,57,28,-148
1007,11,16860,-0.000534,0.014405,-0.006402,57,28,-148
1013,-6,16862,-0.001067,0.014405,-0.006402,57,28,-148
1012,-25,16856,-0.001067,0.014405,-0.005869,57,28,-148
1004,-31,16852,-0.001067,0.014405,-0.005869,58,28,-148
1014,-25,16850,-0.001067,0.014939,-0.005869,58,27,-148
1010,-21,16846,-0.001067,0.014939,-0.005869,58,27,-148
1011,-27,16851,-0.001067,0.014939,-0.005869,58,28,-148
1002,-22,16856,-0.001067,0.014939,-0.005869,58,28,-148
1003,-21,16864,-0.001067,0.014939,-0.005869,58,27,-148
1002,-10,16876,-0.001067,0.014939,-0.005869,58,27,-148
1004,0,16880,-0.001067,0.014405,-0.005869,58,27,-148
1011,4,16870,-0.001067,0.014405,-0.005869,58,28,-148
1003,-5,16855,-0.001067,0.014405,-0.005869,58,28,-148
1002,-6,16851,-0.001067,0.014405,-0.005869,58,28,-148
997,-9,16854,-0.001067,0.014405,-0.006402,58,27,-149
1003,-9,16860,-0.001067,0.014405,-0.006402,59,27,-149
996,-19,16842,-0.001067,0.014405,-0.006402,58,28,-149
1002,-26,16834,-0.001067,0.014405,-0.005869,58,27,-149
994,-21,16836,-0.001067,0.014939,-0.005869,58,27,-149
995,-22,16847,-0.001067,0.014939,-0.005869,58,27,-149
1001,-20,16854,-0.001067,0.014939,-0.005869,57,27,-148
1008,-24,16857,-0.001067,0.014939,-0.005869,57,27,-148
1014,-15,16839,-0.001067,0.014939,-0.005869,57,28,-148
1013,-27,16838,-0.001067,0.014939,-0.006402,57,28,-148
1017,-18,16841,-0.001067,0.014405,-0.006402,57,27,-148
1009,-7,16853,-0.001067,0.014405,-0.006402,57,28,-148
1041,-16,16838,-0.001067,0.014405,-0.006402,57,28,-148
1042,-3,16857,-0.001067,0.014405,-0.006402,57,28,-148
1036,-2,16861,-0.001067,0.013872,-0.006402,57,28,-148
1028,-1,16858,-0.001067,0.013872,-0.006402,57,28,-148
1025,-8,16875,-0.001067,0.014405,-0.006402,57,28,-148
1024,-1,16867,-0.001067,0.014405,-0.006402,58,28,-148
1026,-11,16885,-0.001067,0.014405,-0.006402,57,28,-148
1027,-8,16871,-0.000534,0.014405,-0.006402,57,28,-148
993,-9,16877,-0.000534,0.014939,-0.006402,57,28,-148
988,-21,16864,-0.000534,0.014405,-0.006402,57,28,-148
987,-24,16859,-0.000534,0.014405,-0.006402,57,28,-148
986,-25,16872,-0.000534,0.014939,-0.006402,58,28,-148
987,-23,16877,-0.000534,0.014405,-0.006402,57,28,-148
979,7,16890,-0.000534,0.014405,-0.006402,57,28,-148
984,18,16879,-0.000534,0.014405,-0.006402,57,28,-148
978,11,16886,-0.001067,0.014405,-0.006402,58,28,-148
987,13,16877,-0.001067,0.014405,-0.006402,58,28,-148
986,13,16876,-0.001067,0.014405,-0.006402,58,28,-148
983,21,16866,-0.001067,0.014405,-0.006402,58,28,-148
985,23,16866,-0.001067,0.014405,-0.006402,58,28,-148
986,23,16848,-0.001067,0.014405,-0.006402,58,28,-148
993,-7,16837,-0.001067,0.014405,-0.006402,58,28,-148
986,-9,16854,-0.001067,0.014405,-0.005869,58,28,-148
985,-5,16854,-0.001067,0.014405,-0.005869,57,28,-149
981,4,16867,-0.001067,0.014405,-0.005869,57,28,-149
981,10,16840,-0.001067,0.014405,-0.005335,57,28,-149
988,6,16852,-0.001067,0.014405,-0.005869,57,29,-148
988,13,16839,-0.001067,0.014939,-0.005869,58,28,-149
1020,8,16850,-0.001067,0.014939,-0.005869,57,28,-149
1017,-1,16854,-0.001067,0.014939,-0.005869,57,28,-149
1019,-5,16834,-0.001067,0.014939,-0.005869,57,28,-148
1024,-9,16831,-0.001067,0.014939,-0.006402,57,28,-148
1024,-18,16829,-0.001067,0.014939,-0.006402,58,28,-148
1021,-4,16857,-0.000534,0.014939,-0.006402,58,28,-148
1020,-1,16833,-0.000534,0.014939,-0.006402,58,28,-148
1016,-5,16839,-0.000534,0.014405,-0.006402,57,28,-148
984,-1,16838,-0.001067,0.014405,-0.006402,58,28,-148
986,3,16835,-0.001067,0.014405,-0.005869,57,28,-149
990,6,16847,-0.000534,0.014405,-0.005869,57,28,-149
994,11,16841,-0.000534,0.014405,-0.005869,58,28,-148
997,17,16851,-0.000534,0.014405,-0.006402,58,28,-148
1009,-1,16842,-0.001067,0.014405,-0.006402,57,28,-148
1009,0,16876,-0.001067,0.014405,-0.006402,57,28,-148
1014,-8,16882,-0.001067,0.014405,-0.005869,58,28,-148
1016,-5,16882,-0.001067,0.014405,-0.005869,58,27,-148
1018,-2,16894,-0.001067,0.014405,-0.005869,58,27,-148
1020,-8,16888,-0.001067,0.014405,-0.005869,58,27,-149
1019,-12,16902,-0.001067,0.014405,-0.005869,58,27,-149
1019,-15,16887,-0.001067,0.014405,-0.005869,58,27,-149
1004,-25,16886,-0.001067,0.014405,-0.005869,58,26,-149
999,-18,16869,-0.001067,0.014405,-0.005869,57,27,-149
1004,-18,16862,-0.001067,0.014405,-0.006402,57,27,-149
1000,-29,16856,-0.001067,0.014405,-0.006402,57,27,-149
993,-21,16850,-0.001067,0.014405,-0.006402,57,27,-149
986,-13,16864,-0.001067,0.013872,-0.006402,57,27,-148
986,-16,16847,-0.001067,0.013872,-0.005869,57,27,-148
991,-23,16865,-0.001067,0.013872,-0.005869,58,27,-148
999,-18,16872,-0.001067,0.013872,-0.005869,57,27,-148
997,-28,16872,-0.001067,0.013872,-0.005869,58,27,-148
995,-30,16876,-0.001067,0.013872,-0.005869,58,27,-148
1003,-31,16867,-0.001067,0.013872,-0.005869,58,27,-148
1000,-27,16864,-0.001067,0.013872,-0.005869,58,27,-148
998,-36,16849,-0.001067,0.013872,-0.005869,58,27,-148
994,-40,16856,-0.001067,0.013872,-0.006402,58,27,-148
984,-38,16839,-0.001067,0.014405,-0.006402,58,27,-148
987,-31,16841,-0.001067,0.014405,-0.006402,58,28,-148
990,-28,16844,-0.001067,0.014405,-0.006402,57,28,-148
987,-25,16841,-0.001067,0.014405,-0.006402,57,27,-148
983,-18,16850,-0.001067,0.014405,-0.006402,57,28,-148
991,-32,16850,-0.001067,0.014405,-0.006402,58,27,-148
1007,3,16858,-0.001067,0.014405,-0.006402,58,27,-148
1012,13,16864,-0.001067,0.014405,-0.005869,58,27,-149
1023,24,16869,-0.001067,0.014405,-0.005869,58,27,-149
1024,14,16876,-0.001067,0.014405,-0.005869,58,27,-149
1026,11,16880,-0.001067,0.014405,-0.005869,58,27,-149
1026,3,16865,-0.001067,0.014405,-0.005869,58,27,-149
1033,4,16869,-0.001067,0.014405,-0.005869,58,27,-149
1032,8,16874,-0.001067,0.014405,-0.006402,58,28,-149
1016,-20,16872,-0.001067,0.014405,-0.006402,58,28,-149
1016,-24,16859,-0.001067,0.014405,-0.006402,58,28,-148
1006,-38,16857,-0.001067,0.014405,-0.006402,58,28,-148
995,-29,16861,-0.001067,0.014405,-0.006402,58,28,-148
988,-25,16874,-0.001067,0.014405,-0.006402,58,28,-148
988,-19,16863,-0.001067,0.014405,-0.006402,58,28,-148
977,-21,16859,-0.001067,0.014405,-0.005869,58,28,-148
983,-21,16848,-0.001067,0.014405,-0.005869,58,28,-148
982,-26,16852,-0.001067,0.014405,-0.005869,57,28,-148
974,-21,16863,-0.001067,0.014405,-0.005869,58,28,-148
985,-5,16858,-0.001067,0.014405,-0.005869,58,28,-148
985,-15,16846,-0.001067,0.013872,-0.005869,58,28,-148
987,-12,16838,-0.001067,0.013872,-0.005869,58,28,-148
985,-1,16863,-0.001067,0.013872,-0.005869,58,28,-148
987,4,16848,-0.001067,0.013872,-0.005869,58,28,-148
976,0,16862,-0.001067,0.014405,-0.005869,58,28,-149
982,7,16852,-0.001067,0.014405,-0.006402,58,28,-148
989,6,16855,-0.001067,0.014405,-0.006402,58,28,-148
987,-6,16844,-0.001067,0.014405,-0.006402,57,28,-148
998,0,16838,-0.001067,0.014405,-0.006402,58,28,-148
994,-12,16840,-0.001067,0.014405,-0.006402,58,28,-149
996,-14,16830,-0.001067,0.014405,-0.006402,58,28,-148
999,-8,16847,-0.001067,0.014405,-0.005869,58,28,-148
998,-10,16828,-0.001067,0.014405,-0.005869,58,28,-148
997,-14,16827,-0.001067,0.014405,-0.005869,58,28,-148
996,-11,16823,-0.001067,0.014405,-0.005869,58,28,-148
988,-9,16828,-0.001067,0.014405,-0.005869,58,28,-148
978,-6,16841,-0.001067,0.014405,-0.005869,58,28,-148
1016,-8,16826,-0.001067,0.014405,-0.005869,58,28,-148
1028,-21,16835,-0.001067,0.014405,-0.005869,58,28,-148
1020,-30,16837,-0.001067,0.014405,-0.005869,57,28,-148
1026,-29,16845,-0.001067,0.014405,-0.005869,57,28,-147
1021,-26,16848,-0.001067,0.014405,-0.005869,57,28,-148
1019,-33,16850,-0.001067,0.014405,-0.005869,57,28,-148
1019,-24,16871,-0.001601,0.014405,-0.005869,57,28,-148
1019,-33,16861,-0.001601,0.014405,-0.005869,57,28,-148
991,-17,16869,-0.001601,0.014405,-0.005869,57,28,-148
983,-2,16864,-0.001601,0.014405,-0.006402,57,28,-148
987,-4,16859,-0.001601,0.014405,-0.006402,57,28,-148
988,-9,16870,-0.001601,0.014405,-0.006402,57,28,-149
1001,-20,16863,-0.001601,0.014405,-0.006402,57,28,-149
1000,-15,16865,-0.001601,0.014405,-0.006402,57,28,-149
1008,-19,16851,-0.001601,0.014405,-0.006402,57,28,-149
1023,-21,16856,-0.001601,0.014405,-0.006402,57,28,-149
1033,-22,16847,-0.001601,0.014405,-0.006402,57,28,-149
1033,-35,16838,-0.001601,0.014405,-0.006402,57,28,-148
1041,-39,16843,-0.001067,0.014405,-0.006402,57,28,-148
1041,-23,16841,-0.001067,0.014405,-0.006936,57,27,-148
1037,-19,16865,-0.001067,0.014405,-0.006936,57,27,-148
1038,-16,16858,-0.001067,0.014405,-0.006402,57,27,-148
1031,-17,16855,-0.001067,0.014405,-0.006402,57,27,-148
1029,-10,16852,-0.001067,0.014405,-0.006402,57,28,-148
1024,-15,16844,-0.001067,0.014405,-0.006402,57,28,-147
1021,-10,16869,-0.001067,0.014405,-0.006402,58,28,-148
1015,-3,16872,-0.001067,0.014405,-0.005869,58,28,-148
1016,-14,16902,-0.001067,0.014405,-0.005869,58,28,-148
1015,-9,16871,-0.001067,0.014405,-0.005869,57,29,-148
1017,-11,16872,-0.001067,0.013872,-0.005869,57,28,-148
1014,-9,16874,-0.001067,0.014405,-0.005869,57,28,-148
1012,20,16889,-0.001067,0.014405,-0.005869,58,28,-148
1002,23,16900,-0.001067,0.014405,-0.005869,58,28,-148
1010,20,16890,-0.001067,0.014405,-0.005869,58,28,-148
1009,11,16876,-0.001067,0.014405,-0.005869,58,27,-148
1020,20,16843,-0.001067,0.014405,-0.005869,58,28,-148
1016,15,16871,-0.001067,0.014405,-0.005869,58,28,-148
1020,7,16877,-0.001067,0.014405,-0.005869,58,28,-148
1022,3,16881,-0.001067,0.014405,-0.006402,58,28,-148
1012,-22,16870,-0.001067,0.014405,-0.006402,58,28,-149
1027,-28,16866,-0.001067,0.014405,-0.006402,58,28,-149
1021,-27,16875,-0.001067,0.014405,-0.006402,58,28,-149
1021,-17,16868,-0.001067,0.014405,-0.006402,58,28,-148
1012,-20,16864,-0.001067,0.014939,-0.006402,58,28,-148
1014,-9,16852,-0.001067,0.014939,-0.006402,58,28,-148
1008,-6,16853,-0.001067,0.014939,-0.006402,58,27,-148
1021,-5,16849,-0.001067,0.014939,-0.006402,57,28,-148
1021,-10,16841,-0.001067,0.014939,-0.006402,57,28,-148
1009,18,16860,-0.001067,0.014939,-0.006402,58,28,-148
1009,24,16852,-0.001067,0.014939,-0.006402,58,28,-148
1009,21,16884,-0.001067,0.014939,-0.006402,58,28,-148
1002,13,16875,-0.001067,0.014939,-0.006402,58,28,-148
994,4,16883,-0.001067,0.014405,-0.005869,58,28,-148
991,10,16882,-0.001067,0.014405,-0.005869,57,28,-149
981,7,16893,-0.001067,0.014405,-0.005869,57,28,-149
986,21,16898,-0.001067,0.014405,-0.005869,57,28,-149
989,-5,16879,-0.001067,0.014939,-0.005869,57,28,-149
997,-14,16882,-0.001067,0.014939,-0.006402,57,28,-149
1000,-17,16866,-0.001067,0.014405,-0.006402,57,28,-148
997,-12,16878,-0.001067,0.014405,-0.006402,57,28,-148
1005,-9,16857,-0.001067,0.014939,-0.006402,57,28,-148
1005,-13,16855,-0.001067,0.014939,-0.006402,57,28,-148
1003,-13,16853,-0.001067,0.014405,-0.006402,58,28,-148
989,-15,16848,-0.001067,0.014405,-0.006402,58,28,-149
984,-21,16861,-0.001067,0.014405,-0.006402,57,28,-148
970,-18,16850,-0.001067,0.014405,-0.006402,58,28,-148
969,-8,16848,-0.001067,0.014405,-0.005869,57,28,-149
978,-15,16863,-0.001067,0.014405,-0.005869,57,28,-149
982,-15,16876,-0.001067,0.014405,-0.005869,57,28,-149
985,-17,16862,-0.001067,0.014405,-0.005869,57,28,-149
986,-8,16872,-0.001067,0.014405,-0.005869,57,27,-148
1001,-19,16888,-0.001067,0.014405,-0.005869,57,27,-148
1002,-13,16892,-0.001067,0.014405,-0.005869,57,27,-148
1005,-39,16894,-0.001067,0.014405,-0.005869,57,27,-148
